,Valeur fonciere,Nombre pieces principales,Surface reelle bati
1106872,196700.0,2.0,53.0
1106884,154800.0,2.0,44.0
1106887,287500.0,3.0,65.0
1106892,110000.0,1.0,33.0
1106933,631109.0,5.0,180.0
1106943,108000.0,2.0,38.0
1106955,140740.0,3.0,64.0
1106961,382000.0,4.0,87.0
1106970,208000.0,3.0,53.0
1106973,208000.0,3.0,53.0
1106974,117500.0,3.0,70.0
1106979,326358.0,4.0,85.0
1106983,70000.0,2.0,39.0
1106985,257000.0,3.0,73.0
1106993,121000.0,2.0,49.0
1107001,215000.0,3.0,66.0
1107003,185000.0,2.0,40.0
1107004,130000.0,3.0,64.0
1107020,108880.0,4.0,99.0
1107047,130000.0,1.0,23.0
1107067,210000.0,3.0,57.0
1107070,153000.0,3.0,70.0
1107073,119000.0,2.0,48.0
1107092,145000.0,5.0,105.0
1107095,200455.0,2.0,38.0
1107096,165700.0,3.0,59.0
1107101,62000.0,1.0,31.0
1107110,445000.0,4.0,113.0
1107114,209650.0,4.0,67.0
1107123,168000.0,3.0,62.0
1107128,157300.0,3.0,66.0
1107138,218850.0,2.0,56.0
1107140,212000.0,4.0,62.0
1107142,166300.0,3.0,56.0
1107146,250000.0,3.0,66.0
1107147,165000.0,2.0,42.0
1107154,131740.0,4.0,74.0
1107159,207000.0,5.0,89.0
1107164,238000.0,2.0,52.0
1107173,275000.0,4.0,73.0
1107179,115000.0,1.0,25.0
1107194,152000.0,2.0,43.0
1107199,90000.0,3.0,73.0
1107201,207573.0,3.0,67.0
1107210,330000.0,5.0,138.0
1107213,139000.0,4.0,65.0
1107217,213000.0,3.0,67.0
1107218,134000.0,2.0,32.0
1107225,95500.0,1.0,20.0
1107227,160000.0,2.0,40.0
1107229,195000.0,2.0,46.0
1107232,179000.0,2.0,47.0
1107242,270850.0,4.0,106.0
1107253,513000.0,1.0,28.0
1107257,513000.0,3.0,72.0
1107263,135331.0,3.0,55.0
1107265,180000.0,2.0,30.0
1107267,305831.0,3.0,65.0
1107274,293375.0,3.0,70.0
1107287,143500.0,4.0,68.0
1107293,240000.0,5.0,107.0
1107296,143760.0,4.0,68.0
1107310,480000.0,3.0,83.0
1107322,276000.0,3.0,66.0
1107366,123000.0,3.0,70.0
1107384,75970.0,1.0,10.0
1107389,720000.0,3.0,110.0
1107390,720000.0,6.0,170.0
1107395,720000.0,3.0,110.0
1107396,720000.0,6.0,170.0
1107458,104500.0,2.0,51.0
1107463,140000.0,3.0,67.0
1107464,199190.0,3.0,60.0
1107468,320000.0,3.0,76.0
1107476,198000.0,3.0,57.0
1107480,68660.0,2.0,38.0
1107482,195000.0,3.0,64.0
1107491,174030.0,2.0,50.0
1107501,125000.0,2.0,40.0
1107505,157070.0,2.0,36.0
1107509,119000.0,2.0,38.0
1107518,115000.0,2.0,42.0
1107522,108000.0,2.0,39.0
1107528,109700.0,2.0,38.0
1107531,287500.0,4.0,100.0
1107536,175400.0,3.0,64.0
1107547,287000.0,3.0,78.0
1107552,226850.0,4.0,56.0
1107555,365000.0,4.0,97.0
1107558,143700.0,3.0,59.0
1107568,380000.0,3.0,69.0
1107572,119500.0,1.0,31.0
1107576,122791.0,1.0,29.0
1107585,165000.0,3.0,59.0
1107603,257000.0,2.0,40.0
1107604,257000.0,2.0,46.0
1107605,187900.0,3.0,60.0
1107611,123000.0,1.0,30.0
1107613,125000.0,2.0,42.0
1107616,157500.0,4.0,71.0
1107618,533000.0,4.0,92.0
1107625,533000.0,2.0,49.0
1107626,150000.0,3.0,48.0
1107629,210000.0,4.0,80.0
1107634,322750.0,3.0,73.0
1107636,258800.0,1.0,20.0
1107639,90000.0,1.0,17.0
1107642,147619.05,1.0,28.0
1107644,98040.0,2.0,37.0
1107646,84000.0,1.0,24.0
1107678,1320000.0,5.0,102.0
1107697,281000.0,3.0,69.0
1107702,297800.0,4.0,75.0
1107718,167194.0,2.0,50.0
1107720,229850.0,2.0,48.0
1107745,75000.0,1.0,22.0
1107747,160000.0,2.0,41.0
1107758,157650.0,2.0,41.0
1107761,159400.0,4.0,68.0
1107776,186900.0,3.0,56.0
1107777,110000.0,1.0,28.0
1107779,366580.0,4.0,92.0
1107784,172000.0,4.0,69.0
1107794,158000.0,2.0,28.0
1107795,180000.0,3.0,56.0
1107808,305000.0,5.0,102.0
1107813,268000.0,2.0,51.0
1107838,80000.0,1.0,32.0
1107839,196000.0,3.0,63.0
1107844,237000.0,3.0,63.0
1107848,166835.0,2.0,45.0
1107852,79500.0,1.0,15.0
1107867,198750.0,2.0,61.0
1107868,295000.0,2.0,59.0
1107870,118200.0,1.0,21.0
1107872,186000.0,3.0,62.0
1107875,156000.0,3.0,49.0
1107888,145000.0,3.0,67.0
1107893,175000.0,4.0,66.0
1107896,192000.0,3.0,63.0
1107898,81000.0,1.0,25.0
1107900,72000.0,3.0,55.0
1107906,295000.0,2.0,60.0
1107917,90000.0,2.0,38.0
1107924,139600.0,2.0,37.0
1107932,125000.0,3.0,53.0
1107935,290000.0,3.0,65.0
1107955,178000.0,3.0,59.0
1107965,83000.0,2.0,44.0
1108009,153774.0,2.0,54.0
1108012,145000.0,3.0,48.0
1108014,93000.0,2.0,37.0
1108017,216300.0,4.0,63.0
1108025,270000.0,4.0,77.0
1108029,77000.0,1.0,20.0
1108044,120100.0,2.0,33.0
1108046,137500.0,3.0,51.0
1108050,124781.2,3.0,45.0
1108069,263850.0,2.0,49.0
1108072,121500.0,2.0,61.0
1108073,171000.0,3.0,61.0
1108079,157000.0,4.0,93.0
1108087,365770.0,4.0,116.0
1108096,159500.0,2.0,38.0
1108099,93000.0,1.0,23.0
1108103,336000.0,5.0,94.0
1108106,215000.0,2.0,50.0
1108123,400000.0,5.0,116.0
1108125,260000.0,3.0,70.0
1108128,260000.0,4.0,90.0
1108129,186000.0,2.0,30.0
1108148,117000.0,3.0,55.0
1108155,97000.0,2.0,32.0
1108224,166666.67,2.0,28.0
1108257,240000.0,3.0,55.0
1108263,130000.0,1.0,25.0
1108274,115500.0,2.0,37.0
1108280,386000.0,4.0,75.0
1108283,360000.0,3.0,72.0
1108284,116900.0,3.0,51.0
1108286,99668.0,2.0,29.0
1108292,195400.0,2.0,38.0
1108299,234595.0,2.0,48.0
1108300,111200.0,2.0,44.0
1108306,470500.0,3.0,75.0
1108316,235000.0,2.0,35.0
1108318,185843.0,3.0,55.0
1108323,302050.0,3.0,71.0
1108325,145500.0,1.0,19.0
1108328,138000.0,1.0,31.0
1108329,105000.0,1.0,20.0
1108333,142250.0,3.0,56.0
1108334,141000.0,2.0,40.0
1108357,142500.0,3.0,52.0
1108362,215000.0,3.0,63.0
1108367,171000.0,2.0,40.0
1108369,84000.0,1.0,31.0
1108370,122000.0,3.0,52.0
1108375,122292.0,2.0,50.0
1108380,135000.0,2.0,43.0
1108384,200000.0,2.0,42.0
1108390,60000.0,3.0,53.0
1108392,224350.0,3.0,69.0
1108398,410600.0,3.0,79.0
1108402,233690.0,3.0,61.0
1108404,66056.0,1.0,22.0
1108406,555000.0,3.0,90.0
1108408,250200.0,3.0,70.0
1108416,268600.0,4.0,83.0
1108423,227350.0,3.0,66.0
1108429,128703.7,3.0,69.0
1108439,302070.0,3.0,60.0
1108444,925000.0,1.0,19.0
1108445,925000.0,1.0,22.0
1108446,925000.0,2.0,33.0
1108447,925000.0,2.0,42.0
1108448,925000.0,1.0,27.0
1108449,925000.0,4.0,88.0
1108454,137350.0,1.0,32.0
1108459,105000.0,1.0,30.0
1108505,93100.0,2.0,41.0
1108507,361000.0,4.0,115.0
1108525,152740.0,2.0,42.0
1108584,95000.0,1.0,30.0
1108656,179000.0,3.0,61.0
1108675,323000.0,3.0,55.0
1108684,74550.0,1.0,16.0
1108686,136500.0,2.0,50.0
1108761,189200.0,3.0,56.0
1108773,60000.0,1.0,23.0
1108792,200000.0,3.0,72.0
1108807,278800.0,3.0,79.0
1108814,174500.0,3.0,65.0
1108815,174500.0,2.0,47.0
1108818,103500.0,2.0,21.0
1108827,188580.0,4.0,81.0
1108831,212560.0,4.0,65.0
1108836,263990.0,3.0,90.0
1108838,61000.0,4.0,69.0
1108866,110000.0,2.0,43.0
1108871,91500.0,3.0,63.0
1108873,70000.0,4.0,69.0
1108877,83600.0,1.0,19.0
1108881,130500.0,2.0,54.0
1108883,284960.0,4.0,91.0
1108889,84750.0,2.0,26.0
1108891,168000.0,2.0,52.0
1108906,135650.0,2.0,38.0
1108910,70620.0,1.0,23.0
1108912,190000.0,3.0,63.0
1108914,260000.0,2.0,58.0
1108920,76000.0,1.0,22.0
1108937,224500.0,3.0,65.0
1108938,224500.0,2.0,47.0
1108945,163350.0,3.0,61.0
1108957,260000.0,3.0,63.0
1108961,255000.0,5.0,112.0
1108970,236850.0,3.0,69.0
1108998,272000.0,4.0,66.0
1109006,329000.0,3.0,79.0
1109008,91600.0,1.0,35.0
1109023,186500.0,2.0,53.0
1109029,346500.0,3.0,68.0
1109033,130000.0,2.0,36.0
1109037,122500.0,2.0,32.0
1109215,370000.0,3.0,75.0
1109219,85000.0,1.0,31.0
1109222,130000.0,1.0,32.0
1109225,135000.0,2.0,33.0
1109226,155000.0,4.0,93.0
1109233,310220.0,3.0,64.0
1109235,126000.0,2.0,46.0
1109237,480900.0,4.0,80.0
1109265,130000.0,2.0,54.0
1109267,160000.0,1.0,30.0
1109270,297000.0,3.0,80.0
1109273,170820.0,2.0,36.0
1109279,270000.0,4.0,55.0
1109282,160000.0,2.0,39.0
1109296,165000.0,2.0,45.0
1109315,58000.0,4.0,65.0
1109322,205000.0,3.0,56.0
1109324,231000.0,1.0,33.0
1109326,92000.0,3.0,54.0
1109337,180000.0,1.0,35.0
1109340,245000.0,3.0,64.0
1109344,448500.0,6.0,125.0
1109347,344100.0,4.0,80.0
1109353,40000.0,2.0,16.0
1109361,150000.0,3.0,56.0
1109364,165000.0,3.0,56.0
1109375,74500.0,1.0,29.0
1109384,187350.0,3.0,40.0
1109387,1100000.0,7.0,127.0
1109388,1100000.0,2.0,40.0
1109406,161000.0,3.0,62.0
1109440,180000.0,3.0,52.0
1109443,84906.0,1.0,31.0
1109448,250000.0,2.0,43.0
1109453,95723.0,3.0,71.0
1109463,169000.0,2.0,41.0
1109468,85000.0,4.0,70.0
1109486,155000.0,2.0,45.0
1109496,181900.0,2.0,40.0
1109509,198300.0,3.0,42.0
1109512,114904.0,2.0,37.0
1109517,193000.0,5.0,89.0
1109520,175000.0,4.0,66.0
1109527,146800.0,2.0,39.0
1109529,117000.0,1.0,35.0
1109535,560244.0,3.0,88.0
1109542,171500.0,3.0,62.0
1109562,326700.0,4.0,82.0
1109570,179000.0,4.0,68.0
1109577,140000.0,2.0,43.0
1109586,150000.0,2.0,53.0
1109588,692050.0,4.0,110.0
1109591,126900.0,4.0,79.0
1109594,262800.0,3.0,60.0
1109608,83000.0,1.0,21.0
1109618,89830.0,2.0,48.0
1109620,140000.0,2.0,38.0
1109627,115750.0,2.0,42.0
1109631,170000.0,3.0,67.0
1109633,185000.0,2.0,37.0
1109638,224250.0,3.0,64.0
1109647,165420.0,3.0,56.0
1109650,167020.0,4.0,70.0
1109656,48810.0,1.0,36.0
1109664,360150.0,4.0,88.0
1109672,87500.0,1.0,19.0
1109676,72000.0,1.0,23.0
1109677,143000.0,2.0,45.0
1109734,190000.0,3.0,55.0
1109737,211000.0,2.0,45.0
1109753,271900.0,3.0,78.0
1109766,260000.0,4.0,80.0
1109778,210300.0,3.0,63.0
1109780,179500.0,2.0,48.0
1109785,251000.0,3.0,60.0
1109789,90000.0,1.0,26.0
1109791,127000.0,3.0,57.0
1109793,277820.0,3.0,60.0
1109795,150500.0,3.0,62.0
1109804,264500.0,5.0,85.0
1109822,275000.0,2.0,42.0
1109827,320000.0,2.0,74.0
1109828,696284.0,5.0,141.0
1109834,50000.0,2.0,21.0
1109838,244364.0,4.0,83.0
1109851,97200.0,1.0,20.0
1109858,155000.0,3.0,56.0
1109875,327000.0,3.0,63.0
1109886,188000.0,2.0,36.0
1109891,344450.0,4.0,84.0
1109898,213000.0,5.0,79.0
1109900,105000.0,2.0,39.0
1109903,198000.0,2.0,44.0
1109908,185000.0,3.0,67.0
1109909,129000.0,3.0,74.0
1109922,240000.0,4.0,64.0
1109932,169020.0,3.0,56.0
1109941,178140.0,3.0,57.0
1109942,130000.0,3.0,56.0
1109944,99000.0,2.0,29.0
1109947,310000.0,4.0,87.0
1109950,280000.0,3.0,100.0
1109953,261050.0,2.0,55.0
1109960,289200.0,4.0,70.0
1109968,196027.0,3.0,61.0
1109970,83480.0,2.0,56.0
1109992,150000.0,1.0,28.0
1110011,177500.0,4.0,84.0
1110027,221600.0,4.0,83.0
1110029,261500.0,4.0,70.0
1110032,200000.0,3.0,64.0
1110034,286710.0,3.0,78.0
1110039,175280.0,3.0,60.0
1110044,122000.0,2.0,42.0
1110061,500000.0,4.0,97.0
1110062,500000.0,4.0,97.0
1110068,500000.0,4.0,97.0
1110099,120000.0,3.0,55.0
1110108,154000.0,3.0,62.0
1110127,133900.0,3.0,65.0
1110142,121000.0,2.0,49.0
1110153,166080.0,3.0,44.0
1110164,125430.0,2.0,57.0
1110171,143600.0,3.0,71.0
1110174,315000.0,2.0,31.0
1110175,315000.0,1.0,20.0
1110176,315000.0,1.0,30.0
1110178,479750.0,4.0,104.0
1110179,125581.0,1.0,23.0
1110184,258127.0,4.0,87.0
1110190,102801.4,3.0,66.0
1110198,210000.0,2.0,60.0
1110199,210000.0,1.0,26.0
1110210,204000.0,3.0,65.0
1110213,288500.0,3.0,73.0
1110217,336600.0,3.0,77.0
1110221,119000.0,2.0,40.0
1110232,93600.0,2.0,35.0
1110236,353000.0,4.0,98.0
1110248,108000.0,2.0,46.0
1110250,56000.0,4.0,63.0
1110252,203900.0,1.0,50.0
1110254,223188.0,3.0,49.0
1110255,653500.0,5.0,148.0
1110260,170000.0,4.0,68.0
1110261,146000.0,2.0,47.0
1110269,263868.0,2.0,53.0
1110278,200900.0,2.0,42.0
1110279,411880.0,4.0,79.0
1110280,65000.0,2.0,25.0
1110282,193000.0,4.0,68.0
1110289,59000.0,4.0,68.0
1110290,255000.0,2.0,69.0
1110293,150200.0,2.0,45.0
1110296,550000.0,4.0,129.0
1110299,60000.0,1.0,22.0
1110300,80730.0,1.0,25.0
1110307,123000.0,2.0,42.0
1110309,115000.0,1.0,23.0
1110310,199900.0,3.0,60.0
1110315,135000.0,4.0,66.0
1110320,171300.0,3.0,62.0
1110326,246350.0,3.0,74.0
1110327,60000.0,4.0,69.0
1110331,70000.0,4.0,82.0
1110335,180000.0,3.0,62.0
1110351,118900.0,1.0,24.0
1110365,94180.0,1.0,17.0
1110389,143500.0,3.0,64.0
1110405,135900.0,3.0,64.0
1110412,152460.0,3.0,58.0
1110415,187000.0,3.0,72.0
1110418,171300.0,2.0,42.0
1110428,153000.0,3.0,56.0
1110431,180400.0,3.0,64.0
1110436,147000.0,2.0,42.0
1110440,40000.0,1.0,36.0
1110443,124000.0,1.0,32.0
1110444,245000.0,4.0,84.0
1110451,210000.0,3.0,71.0
1110452,210000.0,3.0,71.0
1110461,195900.0,4.0,88.0
1110462,199000.0,2.0,56.0
1110465,115000.0,4.0,86.0
1110468,453611.38,5.0,130.0
1110475,110600.0,2.0,33.0
1110476,160270.0,2.0,36.0
1110479,114000.0,4.0,66.0
1110481,142000.0,3.0,65.0
1110503,492944.0,4.0,132.0
1110504,643765.0,3.0,99.0
1110513,486310.0,4.0,104.0
1110514,20700.0,1.0,15.0
1110517,100000.0,1.0,20.0
1110520,385900.0,3.0,71.0
1110527,219310.0,4.0,65.0
1110532,127548.0,4.0,66.0
1110534,350000.0,3.0,90.0
1110548,326700.0,2.0,74.0
1110549,109500.0,4.0,77.0
1110553,317274.0,4.0,76.0
1110557,430000.0,3.0,75.0
1110561,183651.0,2.0,46.0
1110562,322000.0,3.0,62.0
1110573,104950.0,1.0,26.0
1110582,133800.0,2.0,42.0
1110591,148000.0,2.0,56.0
1110603,387400.0,3.0,79.0
1110605,143700.0,1.0,32.0
1110606,92500.0,1.0,25.0
1110625,126067.0,2.0,43.0
1110628,235689.0,3.0,83.0
1110665,236450.0,4.0,81.0
1110689,122000.0,2.0,45.0
1110690,211000.0,3.0,55.0
1110698,15000.0,3.0,74.0
1110700,169500.0,3.0,63.0
1110702,166470.0,3.0,53.0
1110708,112000.0,1.0,27.0
1110712,126000.0,2.0,50.0
1110716,215000.0,4.0,65.0
1110718,112000.0,2.0,46.0
1110721,239000.0,5.0,95.0
1110724,161560.0,2.0,47.0
1110727,119000.0,1.0,34.0
1110731,166000.0,2.0,29.0
1110732,140000.0,3.0,70.0
1110733,149000.0,1.0,32.0
1110735,285300.0,2.0,35.0
1110738,164000.0,3.0,63.0
1110750,115000.0,3.0,55.0
1110752,122000.0,4.0,81.0
1110754,220100.0,3.0,54.0
1110760,216000.0,4.0,72.0
1110762,250000.0,2.0,43.0
1110766,155000.0,2.0,37.0
1110784,128000.0,3.0,53.0
1110797,400000.0,5.0,132.0
1110800,115000.0,1.0,32.0
1110801,210000.0,4.0,58.0
1110803,166000.0,3.0,66.0
1110805,220000.0,1.0,19.0
1110806,220000.0,1.0,20.0
1110807,220000.0,1.0,24.0
1110808,220000.0,1.0,25.0
1110809,220000.0,1.0,23.0
1110830,228500.0,4.0,85.0
1110835,270000.0,2.0,46.0
1110841,173150.0,3.0,58.0
1110844,387470.0,3.0,80.0
1110849,60000.0,1.0,19.0
1110857,168000.0,5.0,108.0
1110861,78658.0,1.0,23.0
1110866,141000.0,2.0,44.0
1110869,119500.0,1.0,31.0
1110873,112000.0,4.0,66.0
1110877,204000.0,3.0,67.0
1110880,124000.0,2.0,39.0
1110913,345000.0,3.0,47.0
1110917,197700.0,3.0,68.0
1110920,321927.0,3.0,83.0
1110923,141532.0,3.0,57.0
1110924,420000.0,4.0,120.0
1110929,888500.0,4.0,170.0
1110934,232000.0,3.0,65.0
1110937,272500.0,3.0,69.0
1110945,172000.0,3.0,63.0
1110955,119000.0,2.0,43.0
1110958,73000.0,4.0,68.0
1110960,210000.0,4.0,82.0
1110979,115000.0,2.0,46.0
1110984,1017000.0,5.0,188.0
1110985,1017000.0,3.0,176.0
1110991,279707.0,4.0,85.0
1111004,244450.0,1.0,35.0
1111008,261375.0,3.0,84.0
1111009,268500.0,4.0,102.0
1111012,299900.0,3.0,73.0
1111024,560530.0,5.0,140.0
1111030,257000.0,3.0,72.0
1111037,80000.0,1.0,16.0
1111038,207200.0,4.0,67.0
1111065,165430.0,3.0,62.0
1111071,137500.0,1.0,19.0
1111089,1300000.0,3.0,68.0
1111097,4130000.0,2.0,49.0
1111098,4130000.0,2.0,49.0
1111113,140000.0,3.0,52.0
1111117,365000.0,4.0,100.0
1111131,240000.0,2.0,48.0
1111133,118000.0,3.0,55.0
1111135,213460.0,3.0,58.0
1111138,228030.0,2.0,51.0
1111143,220000.0,3.0,65.0
1111150,70000.0,2.0,44.0
1111154,300500.0,2.0,70.0
1111160,456000.0,4.0,89.0
1111170,190954.0,3.0,66.0
1111173,222000.0,3.0,66.0
1111177,336960.0,1.0,51.0
1111180,140000.0,3.0,60.0
1111183,219530.0,3.0,56.0
1111191,379000.0,3.0,59.0
1111202,97000.0,2.0,36.0
1111207,126000.0,3.0,55.0
1111216,105000.0,2.0,37.0
1111217,110000.0,2.0,35.0
1111229,220850.0,5.0,103.0
1111245,265000.0,3.0,68.0
1111260,94000.0,5.0,78.0
1111286,120000.0,2.0,47.0
1111294,840000.0,4.0,115.0
1111335,135000.0,3.0,56.0
1111345,730000.0,5.0,172.0
1111354,1954204.9,3.0,50.0
1111372,101000.0,2.0,34.0
1111381,220000.0,2.0,41.0
1111385,350000.0,3.0,76.0
1111387,345000.0,3.0,87.0
1111390,321210.0,4.0,75.0
1111394,72886.0,1.0,18.0
1111407,138000.0,1.0,26.0
1111408,138000.0,1.0,26.0
1111409,138000.0,1.0,31.0
1111410,138000.0,1.0,31.0
1111411,138000.0,1.0,31.0
1111412,138000.0,1.0,31.0
1111413,138000.0,1.0,26.0
1111414,138000.0,1.0,31.0
1111415,138000.0,1.0,31.0
1111416,138000.0,1.0,31.0
1111417,138000.0,1.0,31.0
1111418,138000.0,1.0,26.0
1111419,138000.0,1.0,26.0
1111420,138000.0,1.0,31.0
1111421,138000.0,1.0,31.0
1111422,138000.0,1.0,31.0
1111423,138000.0,1.0,31.0
1111424,138000.0,1.0,26.0
1111425,138000.0,3.0,76.0
1111430,110000.0,2.0,38.0
1111432,102000.0,1.0,32.0
1111440,273970.0,3.0,64.0
1111449,312000.0,3.0,82.0
1111451,124900.0,2.0,46.0
1111473,220550.0,2.0,51.0
1111478,227900.0,3.0,62.0
1111479,146900.0,2.0,33.0
1111480,67913.5,1.0,19.0
1111484,125000.0,2.0,29.0
1111487,166500.0,3.0,66.0
1111502,119000.0,2.0,49.0
1111506,120300.0,2.0,45.0
1111508,160500.0,3.0,60.0
1111512,255000.0,3.0,64.0
1111527,91000.0,2.0,37.0
1111529,324000.0,3.0,83.0
1111539,140000.0,1.0,26.0
1111542,223900.0,4.0,74.0
1111547,180000.0,3.0,56.0
1111549,175100.0,2.0,40.0
1111554,236950.0,4.0,68.0
1111567,73000.0,1.0,17.0
1111569,400500.0,5.0,90.0
1111571,170750.0,3.0,64.0
1111593,408900.0,5.0,108.0
1111612,186395.0,4.0,85.0
1111615,147750.0,3.0,61.0
1111622,157000.0,2.0,30.0
1111626,735000.0,4.0,140.0
1111629,244950.0,4.0,60.0
1111634,115000.0,1.0,28.0
1111640,80571.0,1.0,22.0
1111645,90000.0,1.0,21.0
1111646,217360.0,2.0,48.0
1111648,88771.5,2.0,40.0
1111650,240198.0,1.0,43.0
1111660,162000.0,1.0,26.0
1111664,106000.0,2.0,40.0
1111665,165000.0,5.0,82.0
1111666,168867.0,1.0,31.0
1111667,168867.0,1.0,26.0
1111668,168867.0,1.0,31.0
1111669,168867.0,1.0,31.0
1111670,168867.0,1.0,31.0
1111671,168867.0,1.0,26.0
1111672,168867.0,1.0,26.0
1111673,168867.0,1.0,31.0
1111674,168867.0,1.0,31.0
1111675,168867.0,1.0,31.0
1111676,168867.0,1.0,26.0
1111677,168867.0,1.0,26.0
1111678,168867.0,1.0,31.0
1111679,168867.0,1.0,31.0
1111680,168867.0,1.0,31.0
1111681,168867.0,1.0,31.0
1111682,168867.0,1.0,31.0
1111683,168867.0,1.0,26.0
1111684,168867.0,3.0,76.0
1111686,223300.0,3.0,62.0
1111687,550000.0,3.0,71.0
1111689,550000.0,3.0,68.0
1111691,74232.0,1.0,18.0
1111693,391800.0,3.0,78.0
1111699,255300.0,3.0,67.0
1111701,130000.0,4.0,69.0
1111708,122800.0,3.0,56.0
1111709,15000.0,6.0,220.0
1111713,407450.0,3.0,85.0
1111719,94500.0,1.0,18.0
1111721,115182.0,2.0,42.0
1111742,254000.0,3.0,69.0
1111744,435000.0,5.0,115.0
1111750,187840.0,3.0,64.0
1111753,115000.0,1.0,21.0
1111756,230600.0,3.0,70.0
1111768,124000.0,2.0,42.0
1111771,295796.0,3.0,80.0
1111772,98500.0,3.0,53.0
1111776,128500.0,2.0,39.0
1111778,127650.0,2.0,47.0
1111780,451175.0,3.0,95.0
1111789,122000.0,1.0,34.0
1111790,155000.0,1.0,28.0
1111806,475550.0,4.0,89.0
1111808,180000.0,1.0,17.0
1111810,180000.0,1.0,23.0
1111811,70000.0,2.0,25.0
1111814,162826.0,3.0,61.0
1111826,119500.0,2.0,47.0
1111831,174850.0,3.0,57.0
1111836,420000.0,4.0,94.0
1111838,150000.0,2.0,46.0
1111840,150000.0,3.0,54.0
1111849,120200.0,1.0,21.0
1111854,110599.0,3.0,49.0
1111856,103280.0,2.0,44.0
1111867,110000.0,3.0,57.0
1111869,160000.0,4.0,68.0
1111872,363000.0,3.0,65.0
1111873,225000.0,4.0,85.0
1111876,120000.0,2.0,29.0
1111901,167000.0,3.0,61.0
1111908,265000.0,3.0,71.0
1111913,230000.0,2.0,48.0
1111922,10000.0,5.0,156.0
1111931,138000.0,3.0,56.0
1111934,135000.0,3.0,53.0
1111935,95000.0,1.0,22.0
1111943,325000.0,5.0,106.0
1111957,222700.0,3.0,64.0
1111959,240000.0,4.0,67.0
1111963,409000.0,1.0,74.0
1111964,356590.0,3.0,78.0
1111971,215000.0,2.0,43.0
1111977,240000.0,3.0,63.0
1111980,136100.0,2.0,30.0
1111984,305000.0,2.0,64.0
1111988,70000.0,1.0,21.0
1111991,119600.0,2.0,23.0
1111992,140700.0,3.0,59.0
1112004,82000.0,2.0,46.0
1112006,142000.0,1.0,36.0
1112010,235000.0,3.0,64.0
1112015,167790.0,10.0,67.0
1112022,320000.0,5.0,99.0
1112023,168500.0,3.0,48.0
1112035,216000.0,4.0,73.0
1112046,112000.0,2.0,42.0
1112054,147975.0,3.0,56.0
1112066,211200.0,2.0,45.0
1112068,355280.0,3.0,60.0
1112082,207574.0,2.0,41.0
1112085,150000.0,1.0,43.0
1112087,125000.0,2.0,40.0
1112126,443010.0,4.0,95.0
1112134,230000.0,4.0,62.0
1112142,211100.0,3.0,65.0
1112161,87420.0,1.0,25.0
1112171,252000.0,4.0,85.0
1112180,119000.0,1.0,30.0
1112185,289100.0,3.0,83.0
1112191,229000.0,4.0,90.0
1112193,477296.0,4.0,85.0
1112199,99900.0,2.0,46.0
1112202,125000.0,4.0,60.0
1112204,200000.0,2.0,40.0
1112213,235000.0,2.0,43.0
1112214,193206.0,1.0,35.0
1112217,141687.0,4.0,63.0
1112243,94000.0,1.0,29.0
1112244,122612.0,1.0,28.0
1112256,125000.0,2.0,27.0
1112260,375000.0,4.0,73.0
1112261,86544.65,2.0,30.0
1112286,570000.0,3.0,97.0
1112294,78000.0,1.0,21.0
1112296,288000.0,3.0,56.0
1112301,91318.0,2.0,47.0
1112305,108500.0,3.0,50.0
1112310,111000.0,2.0,35.0
1112313,600000.0,3.0,75.0
1112315,110000.0,2.0,38.0
1112317,128724.0,2.0,43.0
1112320,65000.0,1.0,17.0
1112327,288000.0,3.0,62.0
1112330,105475.0,1.0,14.0
1112332,792250.0,4.0,135.0
1112340,93100.0,4.0,66.0
1112349,86000.0,1.0,19.0
1112361,275500.0,3.0,63.0
1112371,60000.0,1.0,23.0
1112381,120000.0,3.0,67.0
1112384,229600.0,3.0,67.0
1112388,414000.0,4.0,113.0
1112391,414000.0,4.0,113.0
1112393,85000.0,2.0,62.0
1112402,117000.0,3.0,55.0
1112412,199000.0,3.0,65.0
1112415,78500.0,1.0,27.0
1112418,225000.0,2.0,38.0
1112419,251900.0,5.0,116.0
1112430,76000.0,1.0,22.0
1112438,344800.0,4.0,92.0
1112441,107000.0,1.0,35.0
1112445,148250.0,1.0,31.0
1112447,155500.0,3.0,64.0
1112458,377340.0,2.0,61.0
1112460,160000.0,2.0,48.0
1112465,341200.0,4.0,91.0
1112471,234500.0,4.0,87.0
1112476,254000.0,3.0,59.0
1112478,116000.0,3.0,56.0
1112481,210000.0,4.0,79.0
1112482,290000.0,3.0,67.0
1112487,105000.0,3.0,57.0
1112488,136500.0,2.0,38.0
1112494,380150.0,3.0,76.0
1112501,107000.0,1.0,21.0
1112515,140700.0,3.0,56.0
1112517,126950.0,1.0,22.0
1112529,214000.0,2.0,44.0
1112530,50000.0,4.0,63.0
1112543,80174.0,2.0,55.0
1112548,1590000.0,1.0,18.0
1112549,1590000.0,1.0,16.0
1112550,1590000.0,1.0,18.0
1112551,1590000.0,1.0,18.0
1112552,1590000.0,1.0,18.0
1112553,1590000.0,1.0,16.0
1112554,1590000.0,1.0,18.0
1112555,1590000.0,1.0,18.0
1112557,170000.0,4.0,84.0
1112568,182550.0,3.0,45.0
1112573,194000.0,3.0,56.0
