,Valeur fonciere,Nombre pieces principales,Surface reelle bati
1095732,84440.0,1.0,20.0
1095736,154416.0,2.0,33.0
1095738,178000.0,4.0,75.0
1095743,115400.0,3.0,62.0
1095746,172000.0,1.0,36.0
1095754,177000.0,3.0,63.0
1095767,145000.0,3.0,54.0
1095769,123584.91,1.0,29.0
1095780,81500.0,1.0,15.0
1095781,217000.0,2.0,44.0
1095789,235190.0,3.0,61.0
1095793,125720.0,2.0,43.0
1095796,255000.0,3.0,69.0
1095803,184000.0,3.0,52.0
1095807,160000.0,2.0,40.0
1095812,159050.0,1.0,40.0
1095816,208000.0,2.0,46.0
1095824,136260.0,2.0,27.0
1095840,169820.0,3.0,57.0
1095842,115000.0,1.0,20.0
1095843,151800.0,3.0,63.0
1095848,445000.0,3.0,66.0
1095854,206000.0,3.0,60.0
1095855,1368100.0,4.0,210.0
1095859,210000.0,5.0,99.0
1095873,154000.0,1.0,28.0
1095881,237875.0,5.0,105.0
1095892,291000.0,3.0,73.0
1095905,432771.0,2.0,51.0
1095907,432771.0,3.0,76.0
1095910,165557.0,2.0,56.0
1095911,183900.0,5.0,88.0
1095917,120000.0,3.0,51.0
1095920,299000.0,5.0,119.0
1095925,150000.0,2.0,65.0
1095929,195000.0,4.0,83.0
1095940,106500.0,2.0,41.0
1095944,494000.0,4.0,85.0
1095946,99400.0,2.0,48.0
1095951,153600.0,3.0,45.0
1095956,217000.0,3.0,61.0
1095957,88000.0,2.0,42.0
1095961,160000.0,3.0,57.0
1095972,161000.0,5.0,95.0
1095975,94640.0,4.0,74.0
1095979,190000.0,4.0,72.0
1095983,201000.0,1.0,20.0
1095984,201000.0,1.0,20.0
1095988,141050.0,2.0,45.0
1095999,210000.0,2.0,47.0
1096008,102400.0,4.0,85.0
1096011,185000.0,2.0,39.0
1096017,230000.0,4.0,98.0
1096030,155000.0,4.0,73.0
1096031,219100.0,4.0,86.0
1096035,155000.0,3.0,62.0
1096039,85000.0,1.0,33.0
1096042,176000.0,5.0,76.0
1096044,480000.0,3.0,90.0
1096047,239750.0,4.0,80.0
1096048,116000.0,1.0,17.0
1096055,2675000.0,2.0,50.0
1096059,2675000.0,2.0,50.0
1096061,2675000.0,3.0,100.0
1096062,2675000.0,2.0,50.0
1096063,2675000.0,4.0,106.0
1096064,91000.0,1.0,23.0
1096074,158000.0,4.0,68.0
1096075,80000.0,1.0,18.0
1096076,115740.0,3.0,69.0
1096080,120000.0,2.0,42.0
1096083,130000.0,2.0,35.0
1096087,175000.0,4.0,90.0
1096095,167200.0,3.0,60.0
1096097,183200.0,2.0,50.0
1096099,107500.0,4.0,60.0
1096104,85000.0,1.0,20.0
1096112,185000.0,4.0,62.0
1096120,275000.0,4.0,86.0
1096121,346525.0,3.0,90.0
1096124,179200.0,1.0,40.0
1096125,238550.0,2.0,50.0
1096126,170000.0,4.0,80.0
1096133,125000.0,2.0,43.0
1096137,355000.0,4.0,100.0
1096140,159000.0,3.0,60.0
1096149,139000.0,1.0,24.0
1096158,710000.0,3.0,55.0
1096159,710000.0,4.0,65.0
1096160,710000.0,3.0,55.0
1096162,710000.0,4.0,65.0
1096163,710000.0,3.0,55.0
1096164,710000.0,4.0,65.0
1096166,127777.0,2.0,50.0
1096172,136000.0,2.0,40.0
1096188,64000.0,3.0,60.0
1096191,120000.0,4.0,64.0
1096193,131000.0,2.0,43.0
1096194,87000.0,1.0,34.0
1096210,85000.0,2.0,34.0
1096226,346133.0,4.0,74.0
1096229,346133.0,4.0,72.0
1096243,193500.0,4.0,68.0
1096244,295000.0,2.0,75.0
1096250,217720.0,4.0,67.0
1096257,135000.0,2.0,49.0
1096259,171721.0,2.0,44.0
1096263,77000.0,1.0,22.0
1096302,197000.0,3.0,53.0
1096306,147000.0,2.0,49.0
1096320,156997.56,1.0,19.0
1096324,125000.0,4.0,63.0
1096348,156000.0,3.0,55.0
1096353,163100.0,3.0,56.0
1096374,283150.0,4.0,82.0
1096379,190000.0,3.0,64.0
1096386,150000.0,3.0,72.0
1096446,80000.0,2.0,38.0
1096453,174080.0,2.0,42.0
1096457,86000.0,1.0,18.0
1096465,195000.0,4.0,58.0
1096470,96000.0,1.0,23.0
1096473,71500.0,1.0,20.0
1096475,155000.0,4.0,85.0
1096491,177500.0,3.0,59.0
1096493,204200.0,3.0,56.0
1096504,45000.0,2.0,22.0
1096505,106000.0,2.0,41.0
1096516,760000.0,5.0,153.0
1096522,122171.0,2.0,45.0
1096527,124000.0,3.0,56.0
1096530,337600.0,3.0,73.0
1096531,88000.0,2.0,32.0
1096541,307500.0,3.0,66.0
1096544,199000.0,3.0,66.0
1096549,96050.0,1.0,38.0
1096550,125000.0,3.0,55.0
1096554,272100.0,3.0,70.0
1096566,120000.0,2.0,49.0
1096571,115000.0,2.0,42.0
1096578,121250.0,4.0,96.0
1096581,284739.0,3.0,65.0
1096584,300000.0,5.0,96.0
1096585,300000.0,5.0,104.0
1096589,272462.0,3.0,59.0
1096592,250000.0,4.0,83.0
1096602,222000.0,3.0,69.0
1096607,167150.0,4.0,78.0
1096610,190000.0,3.0,53.0
1096611,135000.0,1.0,38.0
1096615,270000.0,3.0,61.0
1096617,130000.0,3.0,72.0
1096639,105000.0,2.0,44.0
1096643,433072.0,3.0,87.0
1096646,124200.0,1.0,52.0
1096670,145000.0,1.0,29.0
1096671,208200.0,4.0,65.0
1096673,213300.0,2.0,46.0
1096676,236000.0,4.0,91.0
1096681,305000.0,3.0,72.0
1096686,159000.0,1.0,40.0
1096688,401700.0,3.0,71.0
1096694,182000.0,2.0,49.0
1096696,165000.0,1.0,35.0
1096699,165000.0,1.0,27.0
1096701,148500.0,3.0,60.0
1096705,301000.0,4.0,63.0
1096707,116870.0,2.0,42.0
1096725,117000.0,4.0,74.0
1096728,215000.0,4.0,85.0
1096731,146455.0,4.0,78.0
1096732,110000.0,2.0,39.0
1096736,105000.0,3.0,70.0
1096738,82336.0,2.0,32.0
1096744,412240.0,5.0,100.0
1096747,179000.0,2.0,41.0
1096753,128000.0,4.0,73.0
1096760,303500.0,3.0,77.0
1096767,118000.0,2.0,21.0
1096770,366000.0,4.0,90.0
1096782,215022.0,3.0,64.0
1096784,413350.0,3.0,66.0
1096816,800000.0,4.0,94.0
1096817,800000.0,4.0,94.0
1096822,800000.0,4.0,95.0
1096823,800000.0,4.0,95.0
1096824,146000.0,4.0,63.0
1096826,90000.0,1.0,28.0
1096829,106000.0,2.0,40.0
1096837,220000.0,2.0,44.0
1096840,125000.0,1.0,26.0
1096844,186000.0,2.0,48.0
1096851,130000.0,3.0,64.0
1096882,72000.0,1.0,22.0
1096884,169900.0,2.0,48.0
1096890,185150.0,3.0,53.0
1096891,125000.0,2.0,27.0
1096893,146700.0,3.0,60.0
1096896,224735.0,4.0,83.0
1096904,543600.0,4.0,127.0
1096917,180000.0,1.0,20.0
1096922,119320.0,2.0,39.0
1096923,124000.0,1.0,21.0
1096948,257450.0,4.0,68.0
1096958,98240.0,1.0,33.0
1096963,304700.0,2.0,67.0
1096964,170000.0,2.0,51.0
1096971,213850.0,3.0,60.0
1096972,81000.0,1.0,36.0
1096977,123000.0,2.0,44.0
1096980,890000.0,3.0,125.0
1096981,119400.0,2.0,47.0
1096988,244300.0,3.0,69.0
1096995,210000.0,3.0,69.0
1096997,106500.0,2.0,43.0
1096998,258000.0,2.0,53.0
1097005,147310.0,3.0,63.0
1097006,178230.0,1.0,42.0
1097013,157445.0,1.0,21.0
1097017,125000.0,2.0,43.0
1097026,222000.0,4.0,76.0
